"","PheTTT","PheTTC","LeuTTA","LeuTTG","SerTCT","SerTCC","SerTCA","SerTCG","TyrTAT","TyrTAC","CysTGT","CysTGC","TrpTGG","LeuCTT","LeuCTC","LeuCTA","LeuCTG","ProCCT","ProCCC","ProCCA","ProCCG","HisCAT","HisCAC","GlnCAA","GlnCAG","ArgCGT","ArgCGC","ArgCGA","ArgCGG","IleATT","IleATC","IleATA","ThrACT","ThrACC","ThrACA","ThrACG","AsnAAT","AsnAAC","LysAAA","LysAAG","SerAGT","SerAGC","ArgAGA","ArgAGG","ValGTT","ValGTC","ValGTA","ValGTG","AlaGCT","AlaGCC","AlaGCA","AlaGCG","AspGAT","AspGAC","GluGAA","GluGAG","GlyGGT","GlyGGC","GlyGGA","GlyGGG"
"BRCA.TCGA.BH.A18Q.11A.34R.A12C.13_mirnaB",0.528938611592419,1,1.69287132250782,1.12602415813855,0.0931197768753998,0.0470376245644156,0.854011031356205,4.03592133300507,0.582357866371529,1,0.553633243274535,1,1,0.172401030061206,0.0710683638338094,2.54891562500836,1,0.580404309419645,0.576843084899446,1.05195881940118,2.03635481131995,0.624130837772687,1,1.40188185345263,1,0.957719278212792,0.260500141816679,0.794942954329781,0.602280664357562,0.892280992426479,0.666958911498068,2.89354081280439,0.974862111925171,0.377833224038736,1.06905847362339,3.30424804054203,0.526185467789913,1,1.2168096189907,1,0.70852418058113,1,0.295698894151455,1.13770952934551,0.451237392776233,0.211868281282459,3.67167992720539,0.637787032726704,1.32095647203299,0.5,1.44456839256219,2.74714157305373,0.5,1.04119159851981,0.954948539256773,1,0.384843059907526,0.445225939290991,1.22693521639964,1.4722610219631
"UCEC.TCGA.AJ.A2QL.11A.11R.A18L.13_mirnaA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRAD.TCGA.EJ.7786.11A.01R.2117.13_mirnaB",0.615915760996121,1,1.90943593778805,1.49625258645864,0.0624108100284085,0.0272050143780201,0.533962287404305,2.8172724012642,0.664151500968795,1,0.63826527395934,1,1,0.191298692225067,0.0664977759482704,1.88298654258879,1,1.10822482972464,1,1.00593285293026,2.64492802825581,0.713835672739387,1,1.1896824360695,1,2.31899465214065,0.551211545643492,1.29832683745418,0.921607193882599,0.29079245482902,0.113554653628897,3.61998687502274,1.09338560934856,0.364773380012464,1.31767404884243,2.81612872659748,0.609279172766868,1,1.46005055433301,1,0.821171121519719,1,0.530772040104414,0.940073983335262,0.60187636265234,0.229306914389739,4.40829108723748,0.802826890799875,1.50581815560864,0.5,0.954973421540004,1.65814059082307,0.57440381880576,1,1.23984634397358,1,0.233018304928738,0.234827408258589,0.925697807171864,1.54592713437802
"PRAD.TCGA.EJ.7784.11A.01R.2117.13_mirnaA",0.56075058823598,1,1.59706550087061,1.10068129096012,0.926620180224307,0.853513148416926,0.830725552227484,2.61154389309533,0.630241536366143,1,0.588242746727513,1,1,0.202240881322361,0.0761855141939394,2.07497510245348,1,0.580832956434866,0.550246383756465,1.11703663248704,1.86023623039798,0.665338061756373,1,1.89071584096085,1,1.25368608478657,0.316456489129079,0.82192070820819,1,0.151353265138559,0.10077914475689,3.16496046340739,0.926466962221755,0.339041694397074,1.23728095485418,2.20793358008045,0.610518743244122,1,1.39496000476803,0.786576161428888,0.763120998437097,1,0.519731338455482,1.04677952431952,0.234219474436467,0.0986289429642731,4.04370865783025,0.659903659617949,1.35482174585958,0.476376463133624,1.71263690420207,2.77712866782751,0.534428158662547,1,1.12583793944142,1,0.364580382877093,0.38243019832271,0.814999655964965,1.50575489371334
"KIRC.TCGA.CW.6088.11A.01R.1671.13_mirnaB",0.520050263366585,1,3.13908539111175,1.38417090984484,0.112720320486147,0.0553892138531332,1.19235006374268,3.63084405527022,0.576529587516188,1,0.572645510823187,1,1,0.221050927587766,0.0894800529453923,2.64234996695842,1,0.607262608945078,0.602314143337302,1.03755912952921,1.93227676348862,0.619266486321631,1,1.5992409645008,1,1.69549157749591,0.462241936049082,1.53529892399895,1.05968162024383,0.789324741984666,0.783476978847159,2.89190069449582,0.367819243353754,0.144113481089141,1.00941891187155,3.21016696837159,0.579268356351124,1,1.15518561936465,1,0.705451863476078,1,0.709545389004918,1.13872583949521,0.271399097360971,0.122587201717638,3.67329679018885,0.541404064980886,0.681068639517391,0.259823014194946,1.57749827829744,3.37786727454678,0.5,1.03225021992412,1.16269666548375,1,0.736753630287002,0.822158653167081,1.1232416180333,1.44277535873346
"PRAD.TCGA.CH.5761.11A.01R.1579.13_mirnaB",0.635516852247504,1,3.21284678144937,1.64703177573898,1.34119798264539,1.1209123133008,0.651433466470942,2.2662710275835,0.687153273364574,1,0.634400792785476,1,1,0.27598309137745,0.0907662192161049,2.17252246444114,1,0.951439420514044,0.821125443791567,1.23429416584776,2.2661131960175,0.74374672040329,1,1.87353306681766,1,0.941667276682456,0.216186298610552,0.979854533647583,0.623552045717983,0.315110586151621,0.174732657610555,3.73456962181739,1.52416791383108,0.5,1.27897325648335,1.86068083790097,0.628836156134653,1,1.47282385425957,1,0.62959768975653,0.737150154359392,0.297084068162918,1.17903985932951,1.12121819360097,0.406567649718497,4.78096578676581,0.541452515266596,1.56885191703396,0.5,1.43953275652386,2.27839212513921,0.592737188109687,1,1.23827357750142,1,0.70923418323054,0.670685575771342,1.26319651579452,1.522234208113
"LIHC.TCGA.FV.A3I1.11A.11R.A22J.13_mirnaA",0.500146557985283,1,3.14651692051812,1.45256596034724,0.0917007927730073,0.0394873594869492,1.01049980464131,2.83896669412275,0.553483016478105,1,0.655149944952271,1,1,0.181938296421938,0.0760089764738527,2.31542018466098,1,0.0310926692815015,0.014875792501926,1.17704274443536,2.2545414607831,0.566613387349609,1,1.35330391270233,1,1.34686729070744,0.394424005218615,1.1628429083526,1.12772467404084,0.316644506655664,0.243003579673356,3.34603046909685,0.801355617870356,0.262930389702178,1.32588879057934,3.76833666673747,0.576709868807041,1,1.13062015595428,0.933401399209487,0.73411871431791,1.00951944321313,0.921969298927914,1.23059704403269,0.306482780345547,0.130217330447832,3.62352741107886,0.653611916847888,1.1074541850813,0.5,1.21861928051949,2.95749596847767,0.530431651139381,1.03613025717323,1.07318104890062,1,0.533286707434434,0.531702997808515,0.812868373806419,1.45731063402236
"KIRC.TCGA.CW.5585.11A.01R.1540.13_mirnaA",0.567673520752871,1,5.454617856143,1.94152326038931,1.00608009224176,0.904539339269368,1.61502883969465,3.39481162715301,0.631174883776586,1,0.616288212252278,1,1,0.120083904421606,0.0425694921258129,1.91610768111951,0.59299949572058,0.0398014481940155,0.018474606871657,1.13501706896212,1.745301692839,0.67821211382784,1,2.23164976774677,1,1.22830987368622,0.31345943670563,1.28859525167057,0.833736836124899,0.931541052736355,0.765028214256862,3.37001843067907,0.419409983545884,0.148415032540248,1.03318398690586,3.22128278621132,0.575944344051589,1,1.23102777735984,1,0.426340070619229,0.551446794579007,0.852776917492489,1.11010213498347,0.946611879070995,0.382967561530566,4.03248245338397,0.538365588834635,0.397029282698413,0.141172566288572,1.7586330885716,2.3797048535683,0.586200358104092,1,1.35591039147094,0.831713017367794,0.270814220846973,0.284763518871619,1.13523235391009,1.47302241563052
"LUAD.TCGA.44.7667.11A.01H.2065.13_mirnaB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIHC.TCGA.DD.A1EH.11A.11R.A130.13_mirnaB",0.530324520498793,1,4.72295821439013,1.80738596841411,0.0849461044874209,0.0369199188148978,1.5253117462968,3.47597201213126,0.574166222925947,1,0.643825189511368,1,1,0.0982974472418745,0.0380629868461197,2.06641699352925,0.734173919473267,0.493462313038555,0.463469606386797,1.19836227595076,1.93739501748258,0.593057382188563,1,1.11660786781375,1,1.27900675411349,0.357026640136786,1.14483037416144,0.805967178074009,0.572798341105977,0.491298272219064,3.32947085979534,0.543928739896689,0.176267768468381,1.27266120299499,3.87196507269017,0.608188483755963,1,1.2220098671793,0.983414558671562,0.547037565790028,0.715190881385578,1,1.13660338358875,0.58366912887735,0.240933265545767,3.74455700926467,0.652117748356021,0.862899840180587,0.369231503334102,1.64977333105407,2.92953004561561,0.5,1.00916971548975,1.15094961489451,1,0.246051822267318,0.245644168807086,0.981038747868885,1.46848587751004
"THCA.TCGA.BJ.A2N8.11A.11R.A18B.13_mirnaB",0.641652179330017,1,2.6617711067453,1.40947006603684,0.0454873121618749,0.0214461806970424,1.12143288523083,3.32465381347857,0.711700193802235,1,0.52581773532949,1,1,0.182269773813837,0.0671791174452187,2.5806636925692,1,0.0250609867941453,0.0135496919394801,1.00491771465643,1.88971376376292,0.728303495164886,1,1.73054207205354,1,0.807335420250192,0.222379898506709,0.78312484313771,0.608305985092575,0.304100914519852,0.21429832282315,3.5695199950792,1.75821804872053,0.5,1.07451840917406,2.62866758276614,0.564271594559123,1,1.20699022776815,1,0.737614414209452,1,0.379822962232815,1.0019434612325,0.257264894703533,0.0941029586484846,5.43997290045102,0.619902405508136,1.37649793422096,0.515061744060746,1.387928268975,2.8940549359565,0.545751315137062,1,1.47158455460191,1,0.807171535459152,0.660148310243561,1.14116080898941,1.40469308673354
"LUSC.TCGA.22.4609.11A.01H.2124.13_mirnaA",0.626957743562529,1,3.14179812505386,1.85547560096973,0.19430988652853,0.0830790661261093,0.802716982646922,2.75738088076968,0.684012130653768,1,0.715899323281106,1,1,0.229603928296634,0.0753557802915487,3.05358031066417,1,0.038681382429707,0.0175800617966313,1.18225798558974,1.88883432475633,0.725262419216026,1,1.58580166459369,1,1.19090670609296,0.280051439252065,0.668583893636467,0.550820428289644,0.793408151413924,0.41148077787919,3.56605299886333,1.50227904477026,0.5,1.24149947507708,2.11400551180193,0.598347658907307,1,1.42045705365836,0.918543275380554,0.840048296953688,1,0.383103186387388,1.08419143759289,0.158009164790121,0.0599557214297103,4.27360366558334,0.614241931504285,1.53566013571055,0.5,1.25295572340497,2.38893702805826,0.559166151491582,1,1.44637975434438,1,0.683176693556354,0.665465137020359,1.44343906239177,1.48631228955034
"BRCA.TCGA.E9.A1RH.11A.34R.A168.13_mirnaA",0.574796022358137,1,3.14935628902534,1.39048281341472,0.105952229360938,0.0499772029011004,1.10788608132592,4.37789874591115,0.627024936983115,1,0.60892661986572,1,1,0.1040084220868,0.039465017773395,3.24350463497844,1,0.798423166402933,0.779331234469129,1.11602574439238,2.09862975929516,0.682276990305591,1,1.61826138314047,1,0.893611596219334,0.237354980175803,1.0058769774613,0.761053565190129,1.29214478924907,0.957989279118889,3.05892585921966,0.853975969198193,0.302044044722821,1.01116061991187,3.38716207104283,0.624178006637717,1,1.19552794604702,1,0.745897535326403,1,0.317312051025294,1.10040434341575,0.366160941975444,0.157620910191675,4.15941058012327,0.602152961454097,0.702513025291746,0.254262272575305,1.74359393926991,2.8180256503379,0.506946729486028,1,1.15332233124479,1,0.453070368181621,0.539420208424802,1.23584517965931,1.5022952803006
"LUSC.TCGA.56.8629.11A.01H.2402.13_mirnaB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THCA.TCGA.EL.A3TB.11A.11R.A22J.13_mirnaB",0.619290971051418,1,3.18235761718448,1.45369157469963,0.0693656246728411,0.0325244607755536,0.864564418386704,2.84238766271452,0.68028772059146,1,0.623003365445081,1,1,0.252164995977889,0.0937177199496416,3.03594071095271,1,0.0348874387610537,0.0180937192570595,1.0206365830433,1.80461285682531,0.705788618761553,1,1.98290690338784,1,1.21225192986713,0.325260556785434,0.938567055531875,0.686251794807118,0.439867319853701,0.311260216948759,3.40081107250933,1.63124059448663,0.5,0.983946285756709,2.82508041240053,0.602060177154633,1,1.16799245127248,1,0.746306818512738,1,0.582665269291338,1.01985472702586,0.263333678918499,0.101153002783092,4.86395881661347,0.679117033097687,1.37917184797762,0.5,1.18647217484964,2.54143264615353,0.536699874834882,1,1.16636762739094,1,0.75227619513029,0.668724571812026,1.10683246024569,1.43017088159553
"BRCA.TCGA.BH.A0DK.11A.13R.A090.13_mirnaB",0.544238175531733,1,2.25116924024262,1.42886608070077,1.15365225699683,1.1065724262241,0.830195477208988,2.46598398034622,0.60206707018974,1,0.577972169107881,1,1,2.26291798994165,1.75079327148037,2.20560129582622,1,0.0834892460886134,0.0408859208739379,1.08120265272754,1.99506144090459,0.657131091166059,1,1.83039111990977,1,1.31328165248434,0.350641328039504,0.818316889320357,0.62392495865651,0.929092723873807,0.583701841370558,3.14739926615292,0.750095149515969,0.278786478945215,1.21382625104522,2.89771914180224,0.626258302503381,1,1.14966899038523,1,0.441051349305042,0.592426515903941,0.492480724723747,1.10484111034793,0.103789936173509,0.0458675868653614,3.85432995778221,0.551295915845032,0.989855527316067,0.360616328711385,1.66844707153261,3.0627266084395,0.504648787054179,1,1.27847895259726,0.877172923505839,0.879166078143129,1,1.07647277064916,1.49050494553505
